number_of_lanes,fatal_count,young,deer,lighting,occupants,road_condition,speed_limit,hour,hit_and_run,most_severe_injury,red_light_running,weekday,highway_classification,crash_type,weather,alcohol,drug
4,0,0,0,4,3,1,35,12,0,2,0,2,3,5,1,0,0
2,0,0,0,4,2,4,30,7,0,5,0,5,9,5,5,0,0
4,0,1,0,4,3,3,70,0,0,5,0,6,1,8,2,0,0
3,0,0,0,1,2,2,55,12,0,5,0,5,3,5,1,0,0
2,0,0,0,4,2,2,30,20,1,5,0,7,9,8,1,0,0
1,0,0,0,1,1,2,35,10,0,5,0,6,1,1,2,0,0
3,0,0,0,1,1,3,55,9,0,5,0,6,1,1,2,0,0
4,0,1,0,3,1,6,70,17,0,5,0,6,1,1,5,0,0
5,0,0,0,4,1,3,70,5,0,4,0,7,1,1,5,1,0
4,0,0,0,1,2,2,55,16,0,3,0,2,1,8,5,0,0
3,0,0,0,1,2,1,55,16,0,4,0,6,1,5,1,0,0
4,0,0,0,1,1,1,35,10,0,5,0,6,9,1,1,0,0
4,0,1,0,1,2,3,55,8,0,5,0,3,1,5,1,0,0
5,0,0,0,1,1,3,55,16,0,2,0,5,3,1,5,0,0
5,0,1,0,1,4,6,70,15,0,5,0,4,1,1,2,0,0
3,0,0,0,1,4,6,55,9,0,5,0,6,1,5,2,0,0
1,0,1,0,4,2,1,25,18,0,5,0,3,9,4,1,0,0
5,0,1,0,1,2,3,30,8,0,3,0,4,3,4,5,0,0
2,0,0,0,1,4,3,25,8,0,5,0,2,9,5,2,0,0
